en,zh_correct,zh_translate_tool1,zh_status_tool1,pinyin_trans_tool1,pinyin_meaning_tool1,g2pc_pos_tool1,g2pc_tones_tool1,g2pc_meaning_tool1,g2pm_tone_tool1
tahseenah,,Tahseenah,,"['T', 'a', 'h', 's', 'e', 'e', 'n', 'a', 'h']",,nr,"['t', 'a', 'h', 's', 'e', 'e', 'n', 'a', 'h']","['(slang) butch (lesbian stereotype)', None, None, None, None, None, None, None, None]",['tahseenah']
taimur,,泰米尔,,"['tai4', 'mi3', 'er3']",['Tamil'],nr,['tai4 mi3 er3'],['Tamil'],"['tai4', 'mi3', 'er3']"
taj,,泰姬陵,,"['tai4', 'ji1', 'ling2']",['Taj Mahal (mausoleum in India)'],ns,['tai4 ji1 ling2'],['Taj Mahal (mausoleum in India)'],"['tai4', 'ji1', 'ling2']"
tajammal,,塔哈马,,"['ta3', 'ha1', 'ma3']",,nr,"['ta3', 'ha1', 'ma3']","['pagoda', '(interj.) ha!', 'surname Ma']","['ta3', 'ha1', 'ma3']"
tajudinn,,塔吉丁,,"['ta3', 'ji2', 'ding1']",,nr,"['ta3', 'ji2', 'ding1']","['pagoda', 'surname Ji', 'surname Ding']","['ta3', 'ji2', 'ding1']"
tala,,塔拉,,"['ta3', 'la1']",,nr,"['ta3', 'la1']","['pagoda', 'to pull']","['ta3', 'la1']"
talat,,塔拉特,,"['ta3', 'la1', 'te4']",,nr,"['ta3', 'la1', 'te4']","['pagoda', 'to pull', 'special']","['ta3', 'la1', 'te4']"
tali,,塔利,,"['ta3', 'li4']",,nr,"['ta3', 'li4']","['pagoda', 'surname Li']","['ta3', 'li4']"
talib,,塔利布,,"['ta3', 'li4', 'bu4']",,nr,"['ta3', 'li4', 'bu4']","['pagoda', 'surname Li', 'to announce']","['ta3', 'li4', 'bu4']"
talibah,,塔利巴,,"['ta3', 'li4', 'ba1']",,nr,"['ta3', 'li4', 'ba1']","['pagoda', 'surname Li', 'Ba state during Zhou dynasty (in east of modern Sichuan)']","['ta3', 'li4', 'ba1']"
tamadhur,,塔玛德,,"['ta3', 'ma3', 'de2']",,nr,"['ta3', 'ma3', 'de2']","['pagoda', 'agate', 'Germany']","['ta3', 'ma3', 'de2']"
tamara,,塔玛拉,,"['ta3', 'ma3', 'la1']",,nr,"['ta3', 'ma3', 'la1']","['pagoda', 'agate', 'to pull']","['ta3', 'ma3', 'la1']"
tameemah,,Tameemah,,"['T', 'a', 'm', 'e', 'e', 'm', 'a', 'h']",,nr,"['t', 'a', 'm', 'e', 'e', 'm', 'a', 'h']","['(slang) butch (lesbian stereotype)', None, None, None, None, None, None, None]",['tameemah']
tamir,,塔米尔,,"['ta3', 'mi3', 'er3']",,nr,"['ta3', 'mi3', 'er3']","['pagoda', 'surname Mi', 'thus']","['ta3', 'mi3', 'er3']"
tammam,,塔玛姆,,"['ta3', 'ma3', 'mu3']",,nr,"['ta3', 'ma3', 'mu3']","['pagoda', 'agate', 'woman who looks after small children']","['ta3', 'ma3', 'mu3']"
tanim,,塔尼姆,,"['ta3', 'ni2', 'mu3']",,nr,"['ta3', 'ni2', 'mu3']","['pagoda', 'Buddhist nun', 'woman who looks after small children']","['ta3', 'ni2', 'mu3']"
tanisha,,塔尼莎,,"['ta3', 'ni2', 'sha1']",,nr,"['ta3', 'ni2', 'sha1']","['pagoda', 'Buddhist nun', 'katydid (family Tettigoniidae)']","['ta3', 'ni2', 'sha1']"
tanveer,,Tanveer,,"['T', 'a', 'n', 'v', 'e', 'e', 'r']",,nr,"['t', 'a', 'n', 'v', 'e', 'e', 'r']","['(slang) butch (lesbian stereotype)', None, None, None, None, None, None]",['tanveer']
tanwir,,坦威,,"['tan3', 'wei1']",,nr,"['tan3', 'wei1']","['flat', 'power']","['tan3', 'wei1']"
tanzeela,,坦泽拉,,"['tan3', 'ze2', 'la1']",,nr,"['tan3', 'ze2', 'la1']","['flat', 'pool', 'to pull']","['tan3', 'ze2', 'la1']"
taqee,,taqee,,"['t', 'a', 'q', 'e', 'e']",,nr,"['t', 'a', 'q', 'e', 'e']","[None, None, None, None, None]",['taqee']
taqiyah,,Taqiyah,,"['T', 'a', 'q', 'i', 'y', 'a', 'h']",,nr,"['t', 'a', 'q', 'i', 'y', 'a', 'h']","['(slang) butch (lesbian stereotype)', None, None, None, None, None, None]",['taqiyah']
taqiyy,,taqiyy,,"['t', 'a', 'q', 'i', 'y', 'y']",,nr,"['t', 'a', 'q', 'i', 'y', 'y']","[None, None, None, None, None, None]",['taqiyy']
wahidah,,瓦希达,,"['wa3', 'xi1', 'da2']",,nr,"['wa3', 'xi1', 'da2']","['roof tile', 'to hope', 'surname Da']","['wa3', 'xi1', 'da2']"
wail,,哀号,,"['ai1', 'hao4']","['to cry piteously', 'anguished wailing', 'same as 哀嚎']",n,['ai1 hao2'],['to cry piteously'],"['ai1', 'hao4']"
sumaiya,,Sumaiya,,"['S', 'u', 'm', 'a', 'i', 'y', 'a']",,nr,"['S', 'u', 'm', 'a', 'i', 'y', 'a']","[None, None, None, None, None, None, None]",['Sumaiya']
zara,,扎拉,,"['zha1', 'la1']",,nr,"['za1', 'la1']","['to tie', 'to pull']","['zha1', 'la1']"
zareena,,Zareena,,"['Z', 'a', 'r', 'e', 'e', 'n', 'a']",,nr,"['Z', 'a', 'r', 'e', 'e', 'n', 'a']","[None, None, None, None, None, None, None]",['Zareena']
zareenah,,Zareenah,,"['Z', 'a', 'r', 'e', 'e', 'n', 'a', 'h']",,nr,"['Z', 'a', 'r', 'e', 'e', 'n', 'a', 'h']","[None, None, None, None, None, None, None, None]",['Zareenah']
zarifah,,Zarifah,,"['Z', 'a', 'r', 'i', 'f', 'a', 'h']",,nr,"['Z', 'a', 'r', 'i', 'f', 'a', 'h']","[None, None, None, None, None, None, None]",['Zarifah']
zarina,,Zarina,,"['Z', 'a', 'r', 'i', 'n', 'a']",,nr,"['Z', 'a', 'r', 'i', 'n', 'a']","[None, None, None, None, None, None]",['Zarina']
zariya,,Zariya,,"['Z', 'a', 'r', 'i', 'y', 'a']",,nr,"['Z', 'a', 'r', 'i', 'y', 'a']","[None, None, None, None, None, None]",['Zariya']
zariyah,,Zariyah,,"['Z', 'a', 'r', 'i', 'y', 'a', 'h']",,nr,"['Z', 'a', 'r', 'i', 'y', 'a', 'h']","[None, None, None, None, None, None, None]",['Zariyah']
zarmina,,Zarmina,,"['Z', 'a', 'r', 'm', 'i', 'n', 'a']",,nr,"['Z', 'a', 'r', 'm', 'i', 'n', 'a']","[None, None, None, None, None, None, None]",['Zarmina']
zarqa,,Zarqa,,"['Z', 'a', 'r', 'q', 'a']",,nr,"['Z', 'a', 'r', 'q', 'a']","[None, None, None, None, None]",['Zarqa']
zarrah,,Zarrah,,"['Z', 'a', 'r', 'r', 'a', 'h']",,nr,"['Z', 'a', 'r', 'r', 'a', 'h']","[None, None, None, None, None, None]",['Zarrah']
zarrar,,Zarrar,,"['Z', 'a', 'r', 'r', 'a', 'r']",,nr,"['Z', 'a', 'r', 'r', 'a', 'r']","[None, None, None, None, None, None]",['Zarrar']
zartaj,,Zartaj,,"['Z', 'a', 'r', 't', 'a', 'j']",,nr,"['Z', 'a', 'r', 't', 'a', 'j']","[None, None, None, None, None, None]",['Zartaj']
zayaan,,Zayaan,,"['Z', 'a', 'y', 'a', 'a', 'n']",,nr,"['Z', 'a', 'y', 'a', 'a', 'n']","[None, None, None, None, None, None]",['Zayaan']
zayan,,Zayan,,"['Z', 'a', 'y', 'a', 'n']",,nr,"['Z', 'a', 'y', 'a', 'n']","[None, None, None, None, None]",['Zayan']
zayb,,Zayn,,"['Z', 'a', 'y', 'n']",,nr,"['Z', 'a', 'y', 'n']","[None, None, None, None]",['Zayn']
zayba,,Zayba,,"['Z', 'a', 'y', 'b', 'a']",,nr,"['Z', 'a', 'y', 'b', 'a']","[None, None, None, None, None]",['Zayba']
zayer,,Zayer,,"['Z', 'a', 'y', 'e', 'r']",,nr,"['Z', 'a', 'y', 'e', 'r']","[None, None, None, None, None]",['Zayer']
zaynab,,Zaynab,,"['Z', 'a', 'y', 'n', 'a', 'b']",,nr,"['Z', 'a', 'y', 'n', 'a', 'b']","[None, None, None, None, None, None]",['Zaynab']
zaynah,,Zaynah,,"['Z', 'a', 'y', 'n', 'a', 'h']",,nr,"['Z', 'a', 'y', 'n', 'a', 'h']","[None, None, None, None, None, None]",['Zaynah']
zaytoon,,Zaytoon,,"['Z', 'a', 'y', 't', 'o', 'o', 'n']",,nr,"['Z', 'a', 'y', 't', 'o', 'o', 'n']","[None, None, None, None, None, None, None]",['Zaytoon']
zaytoonah,,Zaytoonah,,"['Z', 'a', 'y', 't', 'o', 'o', 'n', 'a', 'h']",,nr,"['Z', 'a', 'y', 't', 'o', 'o', 'n', 'a', 'h']","[None, None, None, None, None, None, None, None, None]",['Zaytoonah']
zeba,,Zeba,,"['Z', 'e', 'b', 'a']",,nr,"['Z', 'e', 'b', 'a']","[None, None, None, None]",['Zeba']
zebadiyah,,Zebadiyah,,"['Z', 'e', 'b', 'a', 'd', 'i', 'y', 'a', 'h']",,nr,"['Z', 'e', 'b', 'a', 'd', 'i', 'y', 'a', 'h']","[None, None, None, None, None, None, None, None, None]",['Zebadiyah']
zeena,,Zeena,,"['Z', 'e', 'e', 'n', 'a']",,nr,"['Z', 'e', 'e', 'n', 'a']","[None, None, None, None, None]",['Zeena']
zeeshan,,Zeeshan,,"['Z', 'e', 'e', 's', 'h', 'a', 'n']",,nr,"['Z', 'e', 'e', 's', 'h', 'a', 'n']","[None, None, None, None, None, None, None]",['Zeeshan']
zeeya,,Zeeya,,"['Z', 'e', 'e', 'y', 'a']",,nr,"['Z', 'e', 'e', 'y', 'a']","[None, None, None, None, None]",['Zeeya']
zarar,,Zarar,,"['Z', 'a', 'r', 'a', 'r']",,nr,"['Z', 'a', 'r', 'a', 'r']","[None, None, None, None, None]",['Zarar']
zanyah,,zanyah,,"['z', 'a', 'n', 'y', 'a', 'h']",,nr,"['z', 'a', 'n', 'y', 'a', 'h']","[None, None, None, None, None, None]",['zanyah']
zehra,,Zehra,,"['Z', 'e', 'h', 'r', 'a']",,nr,"['Z', 'e', 'h', 'r', 'a']","[None, None, None, None, None]",['Zehra']
zamrud,,扎姆鲁德,,"['zha1', 'mu3', 'lu3', 'de2']",,nr,"['zha1', 'mu3', 'lu3', 'de2']","['to prick', 'woman who looks after small children', 'surname Lu', 'Germany']","['zha1', 'mu3', 'lu3', 'de2']"
zaina,,Zaina,,"['Z', 'a', 'i', 'n', 'a']",,nr,"['Z', 'a', 'i', 'n', 'a']","[None, None, None, None, None]",['Zaina']
zainab,,Zainab,,"['Z', 'a', 'i', 'n', 'a', 'b']",,nr,"['Z', 'a', 'i', 'n', 'a', 'b']","[None, None, None, None, None, None]",['Zainab']
zair,,Zair,,"['Z', 'a', 'i', 'r']",,nr,"['Z', 'a', 'i', 'r']","[None, None, None, None]",['Zair']
zairah,,Zairah,,"['Z', 'a', 'i', 'r', 'a', 'h']",,nr,"['Z', 'a', 'i', 'r', 'a', 'h']","[None, None, None, None, None, None]",['Zairah']
zaiton,,Zaiton,,"['Z', 'a', 'i', 't', 'o', 'n']",,nr,"['Z', 'a', 'i', 't', 'o', 'n']","[None, None, None, None, None, None]",['Zaiton']
zaitoon,,Zaitoon,,"['Z', 'a', 'i', 't', 'o', 'o', 'n']",,nr,"['Z', 'a', 'i', 't', 'o', 'o', 'n']","[None, None, None, None, None, None, None]",['Zaitoon']
zaitoonah,,Zaitoonah,,"['Z', 'a', 'i', 't', 'o', 'o', 'n', 'a', 'h']",,nr,"['Z', 'a', 'i', 't', 'o', 'o', 'n', 'a', 'h']","[None, None, None, None, None, None, None, None, None]",['Zaitoonah']
zakaa,,Zakaa,,"['Z', 'a', 'k', 'a', 'a']",,nr,"['Z', 'a', 'k', 'a', 'a']","[None, None, None, None, None]",['Zakaa']
zakar,,Zakar,,"['Z', 'a', 'k', 'a', 'r']",,nr,"['Z', 'a', 'k', 'a', 'r']","[None, None, None, None, None]",['Zakar']
zakariyya,,Zakariyya,,"['Z', 'a', 'k', 'a', 'r', 'i', 'y', 'y', 'a']",,nr,"['Z', 'a', 'k', 'a', 'r', 'i', 'y', 'y', 'a']","[None, None, None, None, None, None, None, None, None]",['Zakariyya']
zakariyyaa,,Zakariyyaa,,"['Z', 'a', 'k', 'a', 'r', 'i', 'y', 'y', 'a', 'a']",,nr,"['Z', 'a', 'k', 'a', 'r', 'i', 'y', 'y', 'a', 'a']","[None, None, None, None, None, None, None, None, None, None]",['Zakariyyaa']
zaki,,扎基,,"['zha1', 'ji1']",,nr,"['za1', 'ji1']","['to tie', 'base']","['zha1', 'ji1']"
zakia,,扎基亚,,"['zha1', 'ji1', 'ya4']",,nr,"['za1', 'ji1', 'ya4']","['to tie', 'base', 'Asia']","['zha1', 'ji1', 'ya4']"
zakir,,扎基尔,,"['zha1', 'ji1', 'er3']",,nr,"['za1', 'ji1', 'er3']","['to tie', 'base', 'thus']","['zha1', 'ji1', 'er3']"
zakirah,,Zakirah,,"['Z', 'a', 'k', 'i', 'r', 'a', 'h']",,nr,"['Z', 'a', 'k', 'i', 'r', 'a', 'h']","[None, None, None, None, None, None, None]",['Zakirah']
zakiy,,Zakiy,,"['Z', 'a', 'k', 'i', 'y']",,nr,"['Z', 'a', 'k', 'i', 'y']","[None, None, None, None, None]",['Zakiy']
zakiyaa,,Zakiyaa,,"['Z', 'a', 'k', 'i', 'y', 'a', 'a']",,nr,"['Z', 'a', 'k', 'i', 'y', 'a', 'a']","[None, None, None, None, None, None, None]",['Zakiyaa']
zakiyyah,,Zakiyyah,,"['Z', 'a', 'k', 'i', 'y', 'y', 'a', 'h']",,nr,"['Z', 'a', 'k', 'i', 'y', 'y', 'a', 'h']","[None, None, None, None, None, None, None, None]",['Zakiyyah']
zaleekhah,,Zaleekhah,,"['Z', 'a', 'l', 'e', 'e', 'k', 'h', 'a', 'h']",,nr,"['Z', 'a', 'l', 'e', 'e', 'k', 'h', 'a', 'h']","[None, None, None, None, None, None, None, None, None]",['Zaleekhah']
zalfa,,Zalfa,,"['Z', 'a', 'l', 'f', 'a']",,nr,"['Z', 'a', 'l', 'f', 'a']","[None, None, None, None, None]",['Zalfa']
zaman,,扎曼,,"['zha1', 'man4']",,nr,"['za1', 'man4']","['to tie', 'handsome']","['zha1', 'man4']"
zameelah,,Zameelah,,"['Z', 'a', 'm', 'e', 'e', 'l', 'a', 'h']",,nr,"['Z', 'a', 'm', 'e', 'e', 'l', 'a', 'h']","[None, None, None, None, None, None, None, None]",['Zameelah']
zameena,,Zameena,,"['Z', 'a', 'm', 'e', 'e', 'n', 'a']",,nr,"['Z', 'a', 'm', 'e', 'e', 'n', 'a']","[None, None, None, None, None, None, None]",['Zameena']
zameer,,Zameer,,"['Z', 'a', 'm', 'e', 'e', 'r']",,nr,"['Z', 'a', 'm', 'e', 'e', 'r']","[None, None, None, None, None, None]",['Zameer']
zamil,,扎米尔,,"['zha1', 'mi3', 'er3']",,nr,"['za1', 'mi3', 'er3']","['to tie', 'surname Mi', 'thus']","['zha1', 'mi3', 'er3']"
zehna,,Zehna,,"['Z', 'e', 'h', 'n', 'a']",,nr,"['Z', 'e', 'h', 'n', 'a']","[None, None, None, None, None]",['Zehna']
zenia,,Zenia,,"['Z', 'e', 'n', 'i', 'a']",,nr,"['Z', 'e', 'n', 'i', 'a']","[None, None, None, None, None]",['Zenia']
zaighum,,Zaighum,,"['Z', 'a', 'i', 'g', 'h', 'u', 'm']",,nr,"['Z', 'a', 'i', 'g', 'h', 'u', 'm']","[None, None, None, None, None, None, None]",['Zaighum']
zuehb,,Zuehb,,"['Z', 'u', 'e', 'h', 'b']",,nr,"['Z', 'u', 'e', 'h', 'b']","[None, None, None, None, None]",['Zuehb']
zuhaib,,祖哈布,,"['zu3', 'ha1', 'bu4']",,nr,"['zu3', 'ha1', 'bu4']","['surname Zu', '(interj.) ha!', 'to announce']","['zu3', 'ha1', 'bu4']"
zuhair,,Zuhair,,"['Z', 'u', 'h', 'a', 'i', 'r']",,nr,"['Z', 'u', 'h', 'a', 'i', 'r']","[None, None, None, None, None, None]",['Zuhair']
zuhaira,,Zuhaira,,"['Z', 'u', 'h', 'a', 'i', 'r', 'a']",,nr,"['Z', 'u', 'h', 'a', 'i', 'r', 'a']","[None, None, None, None, None, None, None]",['Zuhaira']
zuharah,,祖哈拉,,"['zu3', 'ha1', 'la1']",,nr,"['zu3', 'ha1', 'la1']","['surname Zu', '(interj.) ha!', 'to pull']","['zu3', 'ha1', 'la1']"
zuhayra,,Zuhayra,,"['Z', 'u', 'h', 'a', 'y', 'r', 'a']",,nr,"['Z', 'u', 'h', 'a', 'y', 'r', 'a']","[None, None, None, None, None, None, None]",['Zuhayra']
zuhera,,Zuhera,,"['Z', 'u', 'h', 'e', 'r', 'a']",,nr,"['Z', 'u', 'h', 'e', 'r', 'a']","[None, None, None, None, None, None]",['Zuhera']
zuhra,,祖拉,,"['zu3', 'la1']",,nr,"['zu3', 'la1']","['surname Zu', 'to pull']","['zu3', 'la1']"
zuhur,,祖赫尔,,"['zu3', 'he4', 'er3']",,nr,"['zu3', 'he4', 'er3']","['surname Zu', 'surname He', 'thus']","['zu3', 'he4', 'er3']"
zul-kifl,,Zul-Kifl,,"['Z', 'u', 'l', '-', 'K', 'i', 'f', 'l']",,nr,"['Z', 'u', 'l', '-', 'K', 'i', 'f', 'l']","[None, None, None, None, None, None, None, None]",['Zul-Kifl']
zulaikhah,,祖拉卡,,"['zu3', 'la1', 'qia3']",,n,"['zu3', 'la1', 'ka3']","['surname Zu', 'to pull', 'to stop']","['zu3', 'la1', 'ka3']"
zulaykha,,Zulaykha,,"['Z', 'u', 'l', 'a', 'y', 'k', 'h', 'a']",,nr,"['Z', 'u', 'l', 'a', 'y', 'k', 'h', 'a']","[None, None, None, None, None, None, None, None]",['Zulaykha']
zulaym,,Zulaym,,"['Z', 'u', 'l', 'a', 'y', 'm']",,nr,"['Z', 'u', 'l', 'a', 'y', 'm']","[None, None, None, None, None, None]",['Zulaym']
zulekha,,Zulekha,,"['Z', 'u', 'l', 'e', 'k', 'h', 'a']",,nr,"['Z', 'u', 'l', 'e', 'k', 'h', 'a']","[None, None, None, None, None, None, None]",['Zulekha']
zulfa,,Zulfa,,"['Z', 'u', 'l', 'f', 'a']",,nr,"['Z', 'u', 'l', 'f', 'a']","[None, None, None, None, None]",['Zulfa']
zulfah,,祖法,,"['zu3', 'fa3']",,n,"['zu3', 'fa3']","['surname Zu', 'France']","['zu3', 'fa3']"
zulfaqaar,,Zulfaqaar,,"['Z', 'u', 'l', 'f', 'a', 'q', 'a', 'a', 'r']",,nr,"['Z', 'u', 'l', 'f', 'a', 'q', 'a', 'a', 'r']","[None, None, None, None, None, None, None, None, None]",['Zulfaqaar']
zulfaqar,,Zulfaqar,,"['Z', 'u', 'l', 'f', 'a', 'q', 'a', 'r']",,nr,"['Z', 'u', 'l', 'f', 'a', 'q', 'a', 'r']","[None, None, None, None, None, None, None, None]",['Zulfaqar']
zulfiqar,,Zulfiqar,,"['Z', 'u', 'l', 'f', 'i', 'q', 'a', 'r']",,nr,"['Z', 'u', 'l', 'f', 'i', 'q', 'a', 'r']","[None, None, None, None, None, None, None, None]",['Zulfiqar']
zulqarnain,,Zulqarnain,,"['Z', 'u', 'l', 'q', 'a', 'r', 'n', 'a', 'i', 'n']",,nr,"['Z', 'u', 'l', 'q', 'a', 'r', 'n', 'a', 'i', 'n']","[None, None, None, None, None, None, None, None, None, None]",['Zulqarnain']
zumzum,,Zumzum,,"['Z', 'u', 'm', 'z', 'u', 'm']",,nr,"['Z', 'u', 'm', 'z', 'u', 'm']","[None, None, None, None, None, None]",['Zumzum']
zun-noon,,Zun-noon,,"['Z', 'u', 'n', '-', 'n', 'o', 'o', 'n']",,nr,"['Z', 'u', 'n', '-', 'n', 'o', 'o', 'n']","[None, None, None, None, None, None, None, None]",['Zun-noon']
zunairah,,Zunairah,,"['Z', 'u', 'n', 'a', 'i', 'r', 'a', 'h']",,nr,"['Z', 'u', 'n', 'a', 'i', 'r', 'a', 'h']","[None, None, None, None, None, None, None, None]",['Zunairah']
zunnoon,,Zunnoon,,"['Z', 'u', 'n', 'n', 'o', 'o', 'n']",,nr,"['Z', 'u', 'n', 'n', 'o', 'o', 'n']","[None, None, None, None, None, None, None]",['Zunnoon']
zuti,,Zuti,,"['Z', 'u', 't', 'i']",,nr,"['Z', 'u', 't', 'i']","[None, None, None, None]",['Zuti']
zynah,,zynah,,"['z', 'y', 'n', 'a', 'h']",,nr,"['z', 'y', 'n', 'a', 'h']","[None, None, None, None, None]",['zynah']
zufar,,Zufar,,"['Z', 'u', 'f', 'a', 'r']",,nr,"['Z', 'u', 'f', 'a', 'r']","[None, None, None, None, None]",['Zufar']
zubi,,祖比,,"['zu3', 'bi3']",,nr,"['zu3', 'bi3']","['surname Zu', 'Belgium']","['zu3', 'bi3']"
zerina,,Zerina,,"['Z', 'e', 'r', 'i', 'n', 'a']",,nr,"['Z', 'e', 'r', 'i', 'n', 'a']","[None, None, None, None, None, None]",['Zerina']
zubdah,,Zubdah,,"['Z', 'u', 'b', 'd', 'a', 'h']",,nr,"['Z', 'u', 'b', 'd', 'a', 'h']","[None, None, None, None, None, None]",['Zubdah']
zeyad,,Zeyad,,"['Z', 'e', 'y', 'a', 'd']",,nr,"['Z', 'e', 'y', 'a', 'd']","[None, None, None, None, None]",['Zeyad']
zhalay,,Zhalay,,"['Z', 'h', 'a', 'l', 'a', 'y']",,nr,"['Z', 'h', 'a', 'l', 'a', 'y']","[None, None, None, None, None, None]",['Zhalay']
ziaud,,Ziaud,,"['Z', 'i', 'a', 'u', 'd']",,nr,"['Z', 'i', 'a', 'u', 'd']","[None, None, None, None, None]",['Ziaud']
zinah,,Zinah,,"['Z', 'i', 'n', 'a', 'h']",,nr,"['Z', 'i', 'n', 'a', 'h']","[None, None, None, None, None]",['Zinah']
zineta,,Zineta,,"['Z', 'i', 'n', 'e', 't', 'a']",,nr,"['Z', 'i', 'n', 'e', 't', 'a']","[None, None, None, None, None, None]",['Zineta']
zinneerah,,Zinneerah,,"['Z', 'i', 'n', 'n', 'e', 'e', 'r', 'a', 'h']",,nr,"['Z', 'i', 'n', 'n', 'e', 'e', 'r', 'a', 'h']","[None, None, None, None, None, None, None, None, None]",['Zinneerah']
zishan,,Zishan,,"['Z', 'i', 's', 'h', 'a', 'n']",,nr,"['Z', 'i', 's', 'h', 'a', 'n']","[None, None, None, None, None, None]",['Zishan']
ziyaad,,Ziyaad,,"['Z', 'i', 'y', 'a', 'a', 'd']",,nr,"['Z', 'i', 'y', 'a', 'a', 'd']","[None, None, None, None, None, None]",['Ziyaad']
ziyan,,Ziyan,,"['Z', 'i', 'y', 'a', 'n']",,nr,"['Z', 'i', 'y', 'a', 'n']","[None, None, None, None, None]",['Ziyan']
zoha,,佐哈,,"['zuo3', 'ha1']",,nr,"['zuo3', 'ha1']","['to assist', '(interj.) ha!']","['zuo3', 'ha1']"
zohaib,,Zohaib,,"['Z', 'o', 'h', 'a', 'i', 'b']",,nr,"['Z', 'o', 'h', 'a', 'i', 'b']","[None, None, None, None, None, None]",['Zohaib']
zohair,,Zohair,,"['Z', 'o', 'h', 'a', 'i', 'r']",,nr,"['Z', 'o', 'h', 'a', 'i', 'r']","[None, None, None, None, None, None]",['Zohair']
zoharin,,Zoharin,,"['Z', 'o', 'h', 'a', 'r', 'i', 'n']",,nr,"['Z', 'o', 'h', 'a', 'r', 'i', 'n']","[None, None, None, None, None, None, None]",['Zoharin']
zohha,,Zohha,,"['Z', 'o', 'h', 'h', 'a']",,nr,"['Z', 'o', 'h', 'h', 'a']","[None, None, None, None, None]",['Zohha']
zohra,,Zohra,,"['Z', 'o', 'h', 'r', 'a']",,nr,"['Z', 'o', 'h', 'r', 'a']","[None, None, None, None, None]",['Zohra']
zohura,,Zohura,,"['Z', 'o', 'h', 'u', 'r', 'a']",,nr,"['Z', 'o', 'h', 'u', 'r', 'a']","[None, None, None, None, None, None]",['Zohura']
zonira,,Zonira,,"['Z', 'o', 'n', 'i', 'r', 'a']",,nr,"['Z', 'o', 'n', 'i', 'r', 'a']","[None, None, None, None, None, None]",['Zonira']
zorah,,佐拉,,"['zuo3', 'la1']",,nr,"['zuo3', 'la1']","['to assist', 'to pull']","['zuo3', 'la1']"
zoran,,佐兰,,"['zuo3', 'lan2']",,nr,"['zuo3', 'lan2']","['to assist', 'surname Lan']","['zuo3', 'lan2']"
zoufishan,,Zoufishan,,"['Z', 'o', 'u', 'f', 'i', 's', 'h', 'a', 'n']",,nr,"['Z', 'o', 'u', 'f', 'i', 's', 'h', 'a', 'n']","[None, None, None, None, None, None, None, None, None]",['Zoufishan']
zubaid,,Zubaid,,"['Z', 'u', 'b', 'a', 'i', 'd']",,nr,"['Z', 'u', 'b', 'a', 'i', 'd']","[None, None, None, None, None, None]",['Zubaid']
zubaidah,,Zubaidah,,"['Z', 'u', 'b', 'a', 'i', 'd', 'a', 'h']",,nr,"['Z', 'u', 'b', 'a', 'i', 'd', 'a', 'h']","[None, None, None, None, None, None, None, None]",['Zubaidah']
zubaria,,祖巴里亚,,"['zu3', 'ba1', 'li3', 'ya4']",,nr,"['zu3', 'ba1', 'li3', 'ya4']","['surname Zu', 'Ba state during Zhou dynasty (in east of modern Sichuan)', 'lining', 'Asia']","['zu3', 'ba1', 'li3', 'ya4']"
zubash,,Zubash,,"['Z', 'u', 'b', 'a', 's', 'h']",,nr,"['Z', 'u', 'b', 'a', 's', 'h']","[None, None, None, None, None, None]",['Zubash']
zubayr,,Zubayr,,"['Z', 'u', 'b', 'a', 'y', 'r']",,nr,"['Z', 'u', 'b', 'a', 'y', 'r']","[None, None, None, None, None, None]",['Zubayr']
zaim,,扎伊姆,,"['zha1', 'yi1', 'mu3']",,nr,"['za1', 'yi1', 'mu3']","['to tie', 'surname Yi', 'woman who looks after small children']","['zha1', 'yi1', 'mu3']"
zaida,,扎伊达,,"['zha1', 'yi1', 'da2']",,nr,"['za1', 'yi1', 'da2']","['to tie', 'surname Yi', 'surname Da']","['zha1', 'yi1', 'da2']"
wais,,wais,,"['w', 'a', 'i', 's']",,nr,"['w', 'a', 'i', 's']","[None, None, None, None]",['wais']
wasil,,瓦西尔,,"['wa3', 'xi1', 'er3']",,nr,"['wa3', 'xi1', 'er3']","['roof tile', 'the West', 'thus']","['wa3', 'xi1', 'er3']"
wasim,,Wasim,,"['W', 'a', 's', 'i', 'm']",,nr,"['W', 'a', 's', 'i', 'm']","[None, None, None, None, None]",['Wasim']
wasimah,,Wasimah,,"['W', 'a', 's', 'i', 'm', 'a', 'h']",,nr,"['W', 'a', 's', 'i', 'm', 'a', 'h']","[None, None, None, None, None, None, None]",['Wasimah']
wasna,,wasna,,"['w', 'a', 's', 'n', 'a']",,nr,"['w', 'a', 's', 'n', 'a']","[None, None, None, None, None]",['wasna']
watheq,,Watheq,,"['W', 'a', 't', 'h', 'e', 'q']",,nr,"['W', 'a', 't', 'h', 'e', 'q']","[None, None, None, None, None, None]",['Watheq']
watiaa,,瓦蒂亚,,"['wa3', 'di4', 'ya4']",,nr,"['wa3', 'di4', 'ya4']","['roof tile', 'stem (of fruit)', 'Asia']","['wa3', 'di4', 'ya4']"
wazeer,,韦尔,,"['wei2', 'er3']",,nr,"['wei2', 'er3']","['surname Wei', 'thus']","['wei2', 'er3']"
wazeera,,Wazeera,,"['W', 'a', 'z', 'e', 'e', 'r', 'a']",,nr,"['W', 'a', 'z', 'e', 'e', 'r', 'a']","[None, None, None, None, None, None, None]",['Wazeera']
