en,zh_correct,zh_translate_tool1,zh_status_tool1,pinyin_trans_tool1,pinyin_meaning_tool1,g2pc_pos_tool1,g2pc_tones_tool1,g2pc_meaning_tool1,g2pm_tone_tool1
ho,,何,,['he2'],"['what', 'how', 'why', 'which', 'carry']",nr,['he2'],['surname He'],['he2']
honghui,,洪华,,"['hong2', 'hua2']",,nr,"['hong2', 'hua2']","['surname Hong', 'abbr. for China']","['hong2', 'hua2']"
hongqi,,洪基,,"['hong2', 'ji1']",,nr,"['hong2', 'ji1']","['surname Hong', 'base']","['hong2', 'ji1']"
hop,,跳,,['tiao4'],"['to jump', 'to hop', 'to skip over', 'to bounce', 'to palpitate']",v,['tiao4'],['to jump'],['tiao4']
howin,,霍宁,,"['huo4', 'ning2']",,nr,"['huo4', 'ning2']","['surname Huo', 'surname Ning']","['huo4', 'ning2']"
chenguang,,成冈,,"['cheng2', 'gang1']",,nr,"['cheng2', 'gang1']","['surname Cheng', 'ridge']","['cheng2', 'gang1']"
hua,,哇,,['wa1'],"['replaces 啊[a5] when following the vowel ""u"" or ""ao""']",nr,['wa1'],['Wow!'],['wa1']
hualing,,hualing,,"['h', 'u', 'a', 'l', 'i', 'n', 'g']",,nr,"['h', 'u', 'a', 'l', 'i', 'n', 'g']","[None, None, None, None, None, None, None]",['hualing']
chenglei,,成丽,,"['cheng2', 'li4']",,nr,"['cheng2', 'li4']","['surname Cheng', 'beautiful']","['cheng2', 'li2']"
huang fu,,黄富,,"['huang2', 'fu4']",,nr,"['huang2', 'fu4']","['surname Huang or Hwang', 'surname Fu']","['huang2', 'fu4']"
hui,,hui,,"['h', 'u', 'i']",,nr,"['h', 'u', 'i']","[None, None, None]",['hui']
dingxiang,,Dingxiang,,"['D', 'i', 'n', 'g', 'x', 'i', 'a', 'n', 'g']",,nr,"['D', 'i', 'n', 'g', 'x', 'i', 'a', 'n', 'g']","[None, None, None, None, None, None, None, None, None]",['Dingxiang']
huidai,,UIDAI,,"['U', 'I', 'D', 'A', 'I']",,nr,"['U', 'I', 'D', 'a', 'I']","[None, None, None, '(slang) (Tw) to steal', None]",['UIDaI']
huifang,,Huifang,,"['H', 'u', 'i', 'f', 'a', 'n', 'g']",,nr,"['H', 'u', 'i', 'f', 'a', 'n', 'g']","[None, None, None, None, None, None, None]",['Huifang']
cheng,,郑,,['zheng4'],"['Zheng state during the Warring States period', 'surname Zheng', 'abbr. for 鄭州|郑州[Zheng4 zhou1]']",nr,['zheng4'],['Zheng state during the Warring States period'],['zheng4']
huifen,,惠芬,,"['hui4', 'fen1']",,nr,"['hui4', 'fen1']","['surname Hui', 'perfume']","['hui4', 'fen1']"
huilang,,Huilang,,"['H', 'u', 'i', 'l', 'a', 'n', 'g']",,nr,"['H', 'u', 'i', 'l', 'a', 'n', 'g']","[None, None, None, None, None, None, None]",['Huilang']
chen,,陈,,['chen2'],"['to lay out', 'to exhibit', 'to display', 'to narrate', 'to state', 'to explain', 'to tell', 'old', 'stale']",nr,['chen2'],['surname Chen'],['chen2']
huiliang,,Huiliang,,"['H', 'u', 'i', 'l', 'i', 'a', 'n', 'g']",,nr,"['H', 'u', 'i', 'l', 'i', 'a', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Huiliang']
guiren,,吉伦,,"['ji2', 'lun2']",,nr,"['ji2', 'lun2']","['surname Ji', 'human relationship']","['ji2', 'lun2']"
guangli,,广利,,"['guang3', 'li4']",,nr,"['guang3', 'li4']","['surname Guang', 'surname Li']","['guang3', 'li4']"
chaoxiang,,chaoxiang,,"['c', 'h', 'a', 'o', 'x', 'i', 'a', 'n', 'g']",,nr,"['c', 'h', 'a', 'o', 'x', 'i', 'a', 'n', 'g']","[None, None, None, None, None, None, None, None, None]",['chaoxiang']
guang,,古,,['gu3'],"['ancient', 'old', 'paleo-']",a,['gu3'],['surname Gu'],['gu3']
deming,,deming,,"['d', 'e', 'm', 'i', 'n', 'g']",,nr,"['d', 'e', 'm', 'i', 'n', 'g']","[None, None, None, None, None, None]",['deming']
delun,,Delun,,"['D', 'e', 'l', 'u', 'n']",,nr,"['D', 'e', 'l', 'u', 'n']","[None, None, None, None, None]",['Delun']
dong,,董,,['dong3'],"['to supervise', 'to direct', 'director']",nr,['dong3'],['surname Dong'],['dong3']
donghai,,东海,,"['dong1', 'hai3']","['East China Sea', 'East Sea (Chinese mythology and ancient geography)']",ns,['dong1 hai3'],['East China Sea'],"['dong1', 'hai3']"
dongmei,,东梅,,"['dong1', 'mei2']",,nr,"['dong1', 'mei2']","['surname Dong', 'surname Mei']","['dong1', 'mei2']"
duyi,,杜伊,,"['du4', 'yi1']",,nr,"['du4', 'yi1']","['surname Du', 'surname Yi']","['du4', 'yi1']"
daiyu,,daiyu,,"['d', 'a', 'i', 'y', 'u']",,nr,"['d', 'a', 'i', 'y', 'u']","[None, None, None, None, None]",['daiyu']
dai,,戴,,['dai4'],"['to put on or wear (glasses, hat, gloves etc)', 'to respect', 'to bear', 'to support']",nr,['dai4'],['surname Dai'],['dai4']
ehuang,,Ehuang,,"['E', 'h', 'u', 'a', 'n', 'g']",,nr,"['E', 'h', 'u', 'a', 'n', 'g']","[None, None, None, None, None, None]",['Ehuang']
enlai,,恩拉莱,,"['en1', 'la1', 'lai2']",,nr,"['en1', 'la1', 'lai2']","['favor', 'to pull', 'name of weed plant (fat hen, goosefoot, pigweed etc)']","['en1', 'la1', 'lai2']"
fa,,F A,,"['F', '', '', 'A']",,nr,"['F', 'a']","[None, '(slang) (Tw) to steal']",['F a']
fai,,fai,,"['f', 'a', 'i']",,nr,"['f', 'a', 'i']","[None, None, None]",['fai']
da,,da,,"['d', 'a']",,nr,"['d', 'a']","[None, None]",['da']
cuifen,,Cuifen,,"['C', 'u', 'i', 'f', 'e', 'n']",,nr,"['C', 'u', 'i', 'f', 'e', 'n']","[None, None, None, None, None, None]",['Cuifen']
fenfang,,芬芬,,"['fen1', 'fen1']",,nr,"['fen1', 'fen1']","['perfume', 'perfume']","['fen1', 'fen1']"
feng,,冯,,['feng2'],"['to gallop', 'to assist', 'to attack', 'to wade', 'great', 'old variant of 憑|凭[ping2]']",nr,['feng2'],['surname Feng'],['feng2']
chyou,,chyou,,"['c', 'h', 'y', 'o', 'u']",,nr,"['c', 'h', 'y', 'o', 'u']","[None, None, None, None, None]",['chyou']
fengge,,势力,,"['shi4', 'li4']","['power', '(ability to) influence']",n,['shi4 li5'],['power'],"['shi4', 'li4']"
fu,,fu,,"['f', 'u']",,nr,"['f', 'u']","[None, None]",['fu']
fuhua,,富豪,,"['fu4', 'hao2']",['rich and powerful person'],nr,['fu4 hao2'],['rich and powerful person'],"['fu4', 'hao2']"
chuntao,,chuntao,,"['c', 'h', 'u', 'n', 't', 'a', 'o']",,nr,"['c', 'h', 'u', 'n', 't', 'a', 'o']","[None, None, None, None, None, None, None]",['chuntao']
gan,,甘,,['gan1'],"['sweet', 'willing']",nr,['gan1'],['surname Gan'],['gan1']
gang,,帮派,,"['bang1', 'pai4']","['gang', 'faction']",n,['bang1 pai4'],['gang'],"['bang1', 'pai4']"
chunhua,,Chunhua,,"['C', 'h', 'u', 'n', 'h', 'u', 'a']",,nr,"['C', 'h', 'u', 'n', 'h', 'u', 'a']","[None, None, None, None, None, None, None]",['Chunhua']
gen,,Gen,,"['G', 'e', 'n']",,nr,"['G', 'e', 'n']","[None, None, None]",['Gen']
genghis,,成年,,"['cheng2', 'nian2']","['to grow to adulthood', 'fully grown', 'the whole year']",vn,['cheng2 nian2'],['to grow to adulthood'],"['cheng2', 'nian2']"
genji,,Genji,,"['G', 'e', 'n', 'j', 'i']",,nr,"['G', 'e', 'n', 'j', 'i']","[None, None, None, None, None]",['Genji']
chuanli,,Chuanli,,"['C', 'h', 'u', 'a', 'n', 'l', 'i']",,nr,"['C', 'h', 'u', 'a', 'n', 'l', 'i']","[None, None, None, None, None, None, None]",['Chuanli']
chu hua,,朱华,,"['zhu1', 'hua2']",,nr,"['zhu1', 'hua2']","['surname Zhu', 'abbr. for China']","['zhu1', 'hua2']"
huiqing,,huiqing,,"['h', 'u', 'i', 'q', 'i', 'n', 'g']",,nr,"['h', 'u', 'i', 'q', 'i', 'n', 'g']","[None, None, None, None, None, None, None]",['huiqing']
huian,,华,,['hua2'],"['magnificent', 'splendid', 'flowery']",nr,['hua2'],['abbr. for China'],['hua2']
boqin,,Boqin,,"['B', 'o', 'q', 'i', 'n']",,nr,"['bi1', 'o', 'q', 'i', 'n']","['', None, None, None, None]","['bi1', 'oqin']"
bohai,,波海,,"['bo1', 'hai3']",,nr,"['bo1', 'hai3']","['Poland', 'surname Hai']","['bo1', 'hai3']"
jingguo,,Jingguo,,"['J', 'i', 'n', 'g', 'g', 'u', 'o']",,nr,"['J', 'i', 'n', 'g', 'g', 'u', 'o']","[None, None, None, None, None, None, None]",['Jingguo']
jinghua,,Jinghua,,"['J', 'i', 'n', 'g', 'h', 'u', 'a']",,nr,"['J', 'i', 'n', 'g', 'h', 'u', 'a']","[None, None, None, None, None, None, None]",['Jinghua']
jinhai,,金海,,"['jin1', 'hai3']",,nr,"['jin1', 'hai3']","['surname Jin', 'surname Hai']","['jin1', 'hai3']"
changpu,,Changpu,,"['C', 'h', 'a', 'n', 'g', 'p', 'u']",,nr,"['C', 'h', 'a', 'n', 'g', 'p', 'u']","[None, None, None, None, None, None, None]",['Changpu']
changming,,长满,,"['chang2', 'man3']",['to grow all over'],nr,['zhang3 man3'],['to grow all over'],"['chang2', 'man3']"
changchang,,昌昌,,"['chang1', 'chang1']",,nr,"['chang1', 'chang1']","['surname Chang', 'surname Chang']","['chang1', 'chang1']"
huizhong,,Huizhong,,"['H', 'u', 'i', 'z', 'h', 'o', 'n', 'g']",,nr,"['H', 'u', 'i', 'z', 'h', 'o', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Huizhong']
juan,,胡安,,"['hu2', 'an1']",,nr,"['hu2', 'an1']","['surname Hu', 'surname An']","['hu2', 'an1']"
bolin,,Bolin,,"['B', 'o', 'l', 'i', 'n']",,nr,"['bi1', 'o', 'l', 'i', 'n']","['', None, None, None, None]","['bi1', 'olin']"
bojing,,bojing,,"['b', 'o', 'j', 'i', 'n', 'g']",,nr,"['b', 'o', 'j', 'i', 'n', 'g']","[None, None, None, None, None, None]",['bojing']
junjie,,朱吉,,"['zhu1', 'ji2']",,nr,"['zhu1', 'ji2']","['surname Zhu', 'surname Ji']","['zhu1', 'ji2']"
kang,,炕,,['kang4'],"['kang (a heatable brick bed)', 'to bake', 'to dry by the heat of a fire']",n,['kang4'],['kang (a heatable brick bed)'],['kang4']
kong,,孔,,['kong3'],"['hole', 'CL:個|个[ge4]', 'classifier for cave dwellings']",nr,['kong3'],['surname Kong'],['kong3']
changying,,换,,['huan4'],"['to exchange', 'to change (clothes etc)', 'to substitute', 'to switch', 'to convert (currency)']",v,['huan4'],['to exchange'],['huan4']
bingwen,,宾温,,"['bin1', 'wen1']",,nr,"['bin1', 'wen1']","['visitor', 'surname Wen']","['bin1', 'wen1']"
baozhai,,Baozhai,,"['B', 'a', 'o', 'z', 'h', 'a', 'i']",,nr,"['bi1', 'a', 'o', 'z', 'h', 'a', 'i']","['', None, None, None, None, None, None]","['bi1', 'aozhai']"
bai,,拜,,['bai4'],"['to pay respect', 'worship', 'visit', 'salute']",v,['bai4'],['to pay respect'],['bai4']
kueng,,Kueng,,"['K', 'u', 'e', 'n', 'g']",,nr,"['K', 'u', 'e', 'n', 'g']","[None, None, None, None, None]",['Kueng']
lan,,局域网,,"['ju2', 'yu4', 'wang3']",['local area network (LAN)'],n,['ju2 yu4 wang3'],['local area network (LAN)'],"['ju2', 'yu4', 'wang3']"
lanying,,lanying,,"['l', 'a', 'n', 'y', 'i', 'n', 'g']",,nr,"['l', 'a', 'n', 'y', 'i', 'n', 'g']","[None, None, None, None, None, None, None]",['lanying']
lee,,李,,['li3'],['plum'],nr,['li3'],['surname Li'],['li3']
aiguo,,aiguo,,"['a', 'i', 'g', 'u', 'o']",,nr,"['a', 'i', 'g', 'u', 'o']","[None, None, None, None, None]",['aiguo']
ai,,AI,,"['A', 'I']",,nr,"['a', 'I']","['(slang) (Tw) to steal', None]",['aI']
lian,,lian,,"['l', 'i', 'a', 'n']",,nr,"['l', 'i', 'a', 'n']","[None, None, None, None]",['lian']
ah lam,,啊，林,,"['a5', '，', 'lin2']",,nr,"['a4', '，', 'lin2']","['interjection or grunt of agreement', None, 'surname Lin']","['a4', '，', 'lin2']"
lien,,留置权,,"['liu2', 'zhi4', 'quan2']",,nr,"['liu2', 'zhi4', 'quan2']","['to leave (a message etc)', 'to install', 'surname Quan']","['liu2', 'zhi4', 'quan2']"
jin,,斤,,['jin1'],"['catty', 'weight equal to 0.5 kg', '(Tw) weight equal to 0.6 kg']",nr,['jin1'],['catty'],['jin1']
dingbang,,Dingbang,,"['D', 'i', 'n', 'g', 'b', 'a', 'n', 'g']",,nr,"['D', 'i', 'n', 'g', 'b', 'a', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Dingbang']
jaw-long,,下巴长,,"['xia4', 'ba1', 'chang2']",,v,"['xia4', 'ba1', 'zhang3']","['down', 'Ba state during Zhou dynasty (in east of modern Sichuan)', 'chief']","['xia4', 'ba1', 'zhang3']"
huojin,,惠金,,"['hui4', 'jin1']",,nr,"['hui4', 'jin1']","['surname Hui', 'surname Jin']","['hui4', 'jin1']"
jianyu,,江,,['jiang1'],"['river', 'CL:條|条[tiao2],道[dao4]']",nr,['jiang1'],['surname Jiang'],['jiang1']
jiang,,江,,['jiang1'],"['river', 'CL:條|条[tiao2],道[dao4]']",nr,['jiang1'],['surname Jiang'],['jiang1']
jiao,,角,,['jiao3'],"['role (theater)', 'to compete', 'ancient three legged wine vessel', 'third note of pentatonic scale']",n,['jiao3'],['angle'],['jiao3']
jiayi,,Jiayi,,"['J', 'i', 'a', 'y', 'i']",,nr,"['J', 'i', 'a', 'y', 'i']","[None, None, None, None, None]",['Jiayi']
chao,,混乱,,"['hun4', 'luan4']","['confusion', 'chaos', 'disorder']",a,['hun4 luan4'],['confusion'],"['hun4', 'luan4']"
jia,,贾,,['jia3'],"['merchant', 'to buy']",nr,['jia3'],['surname Jia'],['jia3']
jianguo,,江,,['jiang1'],"['river', 'CL:條|条[tiao2],道[dao4]']",nr,['jiang1'],['surname Jiang'],['jiang1']
jianjun,,江,,['jiang1'],"['river', 'CL:條|条[tiao2],道[dao4]']",nr,['jiang1'],['surname Jiang'],['jiang1']
jian,,简,,['jian3'],"['simple', 'uncomplicated', 'letter', 'to choose', 'to select', 'bamboo strips used for writing (old)']",nr,['jian3'],['simple'],['jian3']
hung,,悬挂,,"['xuan2', 'gua4']","['to suspend', 'to hang', '(vehicle) suspension']",v,['xuan2 gua4'],['to suspend'],"['xuan2', 'gua4']"
hulin,,Hulin,,"['H', 'u', 'l', 'i', 'n']",,nr,"['H', 'u', 'l', 'i', 'n']","[None, None, None, None, None]",['Hulin']
jiaying,,Jiaying,,"['J', 'i', 'a', 'y', 'i', 'n', 'g']",,nr,"['J', 'i', 'a', 'y', 'i', 'n', 'g']","[None, None, None, None, None, None, None]",['Jiaying']
jie,,杰,,['jie2'],['variant of 傑|杰[jie2]'],nr,['jie2'],['hero'],['jie2']
xueman,,Xueman,,"['X', 'u', 'e', 'm', 'a', 'n']",,nr,"['X', 'u', 'e', 'm', 'a', 'n']","[None, None, None, None, None, None]",['Xueman']
xueqin,,Xueqin,,"['X', 'u', 'e', 'q', 'i', 'n']",,nr,"['X', 'u', 'e', 'q', 'i', 'n']","[None, None, None, None, None, None]",['Xueqin']
da chun,,达春,,"['da2', 'chun1']",,nr,"['da2', 'chun1']","['surname Da', 'surname Chun']","['da2', 'chun1']"
xiuying,,xiuying,,"['x', 'i', 'u', 'y', 'i', 'n', 'g']",,nr,"['x', 'i', 'u', 'y', 'i', 'n', 'g']","[None, None, None, None, None, None, None]",['xiuying']
yow,,哟,,['yo5'],"['(sentence-final particle expressing exhortation)', '(syllable filler in a song)']",e,['yo1'],['Oh! (interjection indicating slight surprise)'],['yo5']
zhyuan,,ZH Yuan,,"['Z', 'H', '', '', 'Y', 'u', 'a', 'n']",,nr,"['Z', 'H', 'Y', 'u', 'a', 'n']","[None, None, None, None, None, None]",['ZH Yuan']
ang£o,,ang£o,,"['a', 'n', 'g', '£', 'o']",,nr,"['a', 'n', 'g', '£', 'o']","[None, None, None, None, None]",['ang£o']
yn,,yn,,"['y', 'n']",,nr,"['y', 'n']","[None, None]",['yn']
dai-tai,,戴泰,,"['dai4', 'tai4']",,j,"['dai4', 'tai4']","['surname Dai', 'abbr. for Thailand']","['dai4', 'tai4']"
da-xia,,da-xia,,"['d', 'a', '-', 'x', 'i', 'a']",,nr,"['d', 'a', '-', 'x', 'i', 'a']","[None, None, None, None, None, None]",['da-xia']
ango,,安哥,,"['an1', 'ge1']",,ns,"['an1', 'ge1']","['surname An', 'elder brother']","['an1', 'ge1']"
xiu mei,,xiu mei,,"['x', 'i', 'u', '', '', 'm', 'e', 'i']",,nr,"['x', 'i', 'u', 'm', 'e', 'i']","[None, None, None, None, None, None]",['xiu mei']
yuet,,yuet,,"['y', 'u', 'e', 't']",,nr,"['y', 'u', 'e', 't']","[None, None, None, None]",['yuet']
xingjuan,,Xingjuan,,"['X', 'i', 'n', 'g', 'j', 'u', 'a', 'n']",,nr,"['X', 'i', 'n', 'g', 'j', 'u', 'a', 'n']","[None, None, None, None, None, None, None, None]",['Xingjuan']
dandan,,丹丹,,"['dan1', 'dan1']",,nr,"['dan1', 'dan1']","['red', 'red']","['dan1', 'dan1']"
xifeng,,xifeng,,"['x', 'i', 'f', 'e', 'n', 'g']",,nr,"['x', 'i', 'f', 'e', 'n', 'g']","[None, None, None, None, None, None]",['xifeng']
yu-jun,,Yu-Jun,,"['Y', 'u', '-', 'J', 'u', 'n']",,nr,"['Y', 'u', '-', 'J', 'u', 'n']","[None, None, None, None, None, None]",['Yu-Jun']
chao-xing,,混乱,,"['hun4', 'luan4']","['confusion', 'chaos', 'disorder']",a,['hun4 luan4'],['confusion'],"['hun4', 'luan4']"
zhyuan,,ZHYUAN,,"['Z', 'H', 'Y', 'U', 'A', 'N']",,nr,"['Z', 'H', 'Y', 'U', 'a', 'N']","[None, None, None, None, '(slang) (Tw) to steal', None]",['ZHYUaN']
yuk,,Yuk,,"['Y', 'u', 'k']",,nr,"['Y', 'u', 'k']","[None, None, None]",['Yuk']
ya,,是的,,"['shi4', 'de5']","[""yes, that's right"", 'variant of 似的[shi4 de5]']",l,['shi4 de5'],"[""yes, that's right""]","['shi4', 'de5']"
zhxin,,Zhxin,,"['Z', 'h', 'x', 'i', 'n']",,nr,"['Z', 'h', 'x', 'i', 'n']","[None, None, None, None, None]",['Zhxin']
yingpei,,yingpei,,"['y', 'i', 'n', 'g', 'p', 'e', 'i']",,nr,"['y', 'i', 'n', 'g', 'p', 'e', 'i']","[None, None, None, None, None, None, None]",['yingpei']
yongliang,,杨利安格,,"['yang2', 'li4', 'an1', 'ge2']",,nr,"['yang2', 'li4', 'an1', 'ge2']","['surname Yang', 'surname Li', 'surname An', 'square']","['yang2', 'li4', 'an1', 'ge2']"
cheung,,张,,['zhang1'],"['to open up', 'to spread', 'sheet of paper', 'classifier for flat objects, sheet', 'classifier for votes']",nr,['zhang1'],['surname Zhang'],['zhang1']
yying,,是的,,"['shi4', 'de5']","[""yes, that's right"", 'variant of 似的[shi4 de5]']",l,['shi4 de5'],"[""yes, that's right""]","['shi4', 'de5']"
chow,,周,,['zhou1'],"['week', 'weekly', 'variant of 周[zhou1]']",nr,['zhou1'],['surname Zhou'],['zhou1']
yzhen,,Yzhen,,"['Y', 'z', 'h', 'e', 'n']",,nr,"['Y', 'z', 'h', 'e', 'n']","[None, None, None, None, None]",['Yzhen']
chanming,,chanming,,"['c', 'h', 'a', 'n', 'm', 'i', 'n', 'g']",,nr,"['c', 'h', 'a', 'n', 'm', 'i', 'n', 'g']","[None, None, None, None, None, None, None, None]",['chanming']
yet kwai,,但是Kwai,,"['dan4', 'shi4', 'K', 'w', 'a', 'i']",,nr,"['dan4 shi4', 'K', 'w', 'a', 'i']","['but', None, None, None, None]","['dan4', 'shi4', 'Kwai']"
zemin,,Zemin,,"['Z', 'e', 'm', 'i', 'n']",,nr,"['Z', 'e', 'm', 'i', 'n']","[None, None, None, None, None]",['Zemin']
chun,,春,,['chun1'],"['spring (time)', 'gay', 'joyful', 'youthful', 'love', 'lust', 'life']",t,['chun1'],['surname Chun'],['chun1']
yaoting,,yaoting,,"['y', 'a', 'o', 't', 'i', 'n', 'g']",,nr,"['y', 'a', 'o', 't', 'i', 'n', 'g']","[None, None, None, None, None, None, None]",['yaoting']
yuke,,Yuke,,"['Y', 'u', 'k', 'e']",,nr,"['Y', 'u', 'k', 'e']","[None, None, None, None]",['Yuke']
chung,,Chung,,"['C', 'h', 'u', 'n', 'g']",,nr,"['C', 'h', 'u', 'n', 'g']","[None, None, None, None, None]",['Chung']
yongzheng,,扬宗,,"['yang2', 'zong1']",,nr,"['yang2', 'zong1']","['surname Yang', 'surname Zong']","['yang2', 'zong1']"
zhengzhong,,宗宗,,"['zong1', 'zong1']",,nr,"['zong1', 'zong1']","['surname Zong', 'surname Zong']","['zong1', 'zong1']"
yanmei,,Yanmei,,"['Y', 'a', 'n', 'm', 'e', 'i']",,nr,"['Y', 'a', 'n', 'm', 'e', 'i']","[None, None, None, None, None, None]",['Yanmei']
biyu,,Biyu,,"['B', 'i', 'y', 'u']",,nr,"['bi1', 'i', 'y', 'u']","['', None, None, None]","['bi1', 'iyu']"
zhenzhen,,Zhenzhen,,"['Z', 'h', 'e', 'n', 'z', 'h', 'e', 'n']",,nr,"['Z', 'h', 'e', 'n', 'z', 'h', 'e', 'n']","[None, None, None, None, None, None, None, None]",['Zhenzhen']
yuqn,,元,,['yuan2'],"['currency unit (esp. Chinese yuan)', 'first', 'original', 'primary', 'fundamental', 'constituent', 'part', 'era (of a reign)', '(math.) argument', 'variable', '(Tw) (geology) eon']",t,['yuan2'],['surname Yuan'],['yuan2']
bik,,比克,,"['bi3', 'ke4']",,nr,"['bi3', 'ke4']","['Belgium', 'to be able to']","['bi3', 'ke4']"
yuhai,,Yuhai,,"['Y', 'u', 'h', 'a', 'i']",,nr,"['Y', 'u', 'h', 'a', 'i']","[None, None, None, None, None]",['Yuhai']
yubi,,尤比,,"['you2', 'bi3']",,nr,"['you2', 'bi3']","['surname You', 'Belgium']","['you2', 'bi3']"
lien hua,,留留下,,"['liu2', 'liu2', 'xia4']",,v,"['liu2', 'liu2 xia4']","['to leave (a message etc)', 'to leave behind']","['liu2', 'liu2', 'xia4']"
xiaosi,,小米,,"['xiao3', 'mi3']",['millet'],nr,['xiao3 mi3'],"['Xiaomi, Chinese electronics company founded in 2010']","['xiao3', 'mi3']"
qiquiang,,Qiquiang,,"['Q', 'i', 'q', 'u', 'i', 'a', 'n', 'g']",,nr,"['q', 'i', 'q', 'u', 'i', 'a', 'n', 'g']","['cute (loanword)', None, None, None, None, None, None, None]",['qiquiang']
jinjing,,吉金,,"['ji2', 'jin1']",,nr,"['ji2', 'jin1']","['surname Ji', 'surname Jin']","['ji2', 'jin1']"
meizhen,,梅恩,,"['mei2', 'en1']",,nr,"['mei2', 'en1']","['surname Mei', 'favor']","['mei2', 'en1']"
ming-ha,,明哈,,"['ming2', 'ha1']",,nr,"['ming2', 'ha1']","['Ming Dynasty (1368-1644)', '(interj.) ha!']","['ming2', 'ha1']"
ming-hui,,明 - 韦,,"['ming2', '', '', '-', '', '', 'wei2']",,nr,"['ming2', '-', 'wei2']","['Ming Dynasty (1368-1644)', None, 'surname Wei']","['ming2', ' - ', 'wei2']"
ming-h£a,,ming-h£a,,"['m', 'i', 'n', 'g', '-', 'h', '£', 'a']",,nr,"['m', 'i', 'n', 'g', '-', 'h', '£', 'a']","[None, None, None, None, None, None, None, None]",['ming-h£a']
jingfei,,Jingfei,,"['J', 'i', 'n', 'g', 'f', 'e', 'i']",,nr,"['J', 'i', 'n', 'g', 'f', 'e', 'i']","[None, None, None, None, None, None, None]",['Jingfei']
mingzhu,,mingzhu,,"['m', 'i', 'n', 'g', 'z', 'h', 'u']",,nr,"['m', 'i', 'n', 'g', 'z', 'h', 'u']","[None, None, None, None, None, None, None]",['mingzhu']
mu lan,,Mu lan,,"['M', 'u', '', '', 'l', 'a', 'n']",,nr,"['M', 'u', 'l', 'a', 'n']","[None, None, None, None, None]",['Mu lan']
mu tan,,Mu Tan,,"['M', 'u', '', '', 'T', 'a', 'n']",,nr,"['M', 'u', 't', 'a', 'n']","[None, None, '(slang) butch (lesbian stereotype)', None, None]",['Mu tan']
niu,,niu,,"['n', 'i', 'u']",,nr,"['n', 'i', 'u']","[None, None, None]",['niu']
peijing,,Peijing,,"['P', 'e', 'i', 'j', 'i', 'n', 'g']",,nr,"['p', 'e', 'i', 'j', 'i', 'n', 'g']","['(slang) femme (lesbian stereotype)', None, None, None, None, None, None]",['peijing']
jiahui,,贾胡伊,,"['jia3', 'hu2', 'yi1']",,nr,"['jia3', 'hu2', 'yi1']","['surname Jia', 'surname Hu', 'surname Yi']","['jia3', 'hu2', 'yi1']"
pengfei,,彭菲,,"['peng2', 'fei1']",,nr,"['peng2', 'fei1']","['surname Peng', 'luxuriant (plant growth)']","['peng2', 'fei1']"
qiaohui,,Qiaohui,,"['Q', 'i', 'a', 'o', 'h', 'u', 'i']",,nr,"['q', 'i', 'a', 'o', 'h', 'u', 'i']","['cute (loanword)', None, None, None, None, None, None]",['qiaohui']
qing,,清,,['qing1'],"['clear', 'distinct', 'quiet', 'just and honest', 'pure', 'to settle or clear up', 'to clean up or purge']",a,['qing1'],"[""Qing or Ch'ing dynasty of imperial China (1644-1911)""]",['qing1']
qingge,,青奇,,"['qing1', 'qi2']",,nr,"['qing1', 'qi2']","[""nature's color"", 'strange']","['qing1', 'qi2']"
qingsheng,,青春,,"['qing1', 'chun1']","['youth', 'youthfulness']",n,['qing1 chun1'],['youth'],"['qing1', 'chun1']"
ju,,ju,,"['j', 'u']",,nr,"['j', 'u']","[None, None]",['ju']
meixiang,,Meixiang,,"['M', 'e', 'i', 'x', 'i', 'a', 'n', 'g']",,nr,"['M', 'e', 'i', 'x', 'i', 'a', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Meixiang']
meilin,,梅林,,"['mei2', 'lin2']",['Merlin'],nr,['mei2 lin2'],['Merlin'],"['mei2', 'lin2']"
kue ching,,Kue Ching,,"['K', 'u', 'e', '', '', 'C', 'h', 'i', 'n', 'g']",,nr,"['K', 'u', 'e', 'C', 'h', 'i', 'n', 'g']","[None, None, None, None, None, None, None, None]",['Kue Ching']
lihwa,,lihwa,,"['l', 'i', 'h', 'w', 'a']",,nr,"['l', 'i', 'h', 'w', 'a']","[None, None, None, None, None]",['lihwa']
liko,,liko,,"['l', 'i', 'k', 'o']",,nr,"['l', 'i', 'k', 'o']","[None, None, None, None]",['liko']
lha,,拉,,['la1'],"['to pull', 'to play (a bowed instrument)', 'to drag', 'to draw', 'to chat']",nr,['la1'],['to pull'],['la1']
lanfen,,兰芬,,"['lan2', 'fen1']",,nr,"['lan2', 'fen1']","['surname Lan', 'perfume']","['lan2', 'fen1']"
linqin,,Linqin,,"['L', 'i', 'n', 'q', 'i', 'n']",,nr,"['L', 'i', 'n', 'q', 'i', 'n']","[None, None, None, None, None, None]",['Linqin']
la,,洛杉矶,,"['luo4', 'shan1', 'ji1']","['Los Angeles, California']",ns,['luo4 shan1 ji1'],"['Los Angeles, California']","['luo4', 'shan1', 'ji1']"
kwong,,夸,,['kua1'],"['to boast', 'to exaggerate', 'to praise']",v,['kua1'],['to boast'],['kua1']
